X,Y,NAME,TYPE,ADDRESS,REGION,WEBSITE,N1,N1_type,N2,N2_Type,Admin,Admin_Title,CONTACT,contact_alt,CHAIRMAN,Chairman_title,REMARKS,LAT,LONG
121.15787,16.48605,NUEVA VIZCAYA,CHAPTER,"Capitol Compound. Bayombong, Nueva Vizcaya  3700",NORTHERN & CENTRAL LUZON,nueva.vizcaya@redcross.org.ph,078-3212189,Telefax,,,Mrs. Jesusa N. Leal,Officer In Charge,0917-5745001,,Dir. Santiago O. Dickson,Chapter Chairman,,16.486,121.15787
120.28553,14.83956,OLONGAPO CITY,CHAPTER,"Old Hospital Compound, East Tapinac, Olongapo City 2200",NORTHERN & CENTRAL LUZON,olongapo@redcross.org.ph,047-222-2181,Telefax,,,Mr. Eduardo C. Buena Jr.,Officer In Charge,0916-7981084,,Dir. Catherine H. Gordon,Chapter Chairman,,14.8396,120.28553
120.97194,14.65094,CALOOCAN CITY,CHAPTER,"7th Ave. Grace Park, Caloocan City 1400",NATIONAL CAPITAL REGION,caloocan@redcross.org.ph,364-5752,Fax,366-0380,Landline,Mrs. Jennifer L. De Guzman,Officer In Charge,0917-5809526,781-5661,Dir. Russel C. Ramirez,Chapter Chairman,,14.6509,120.97194
120.98381,14.45062,LAS PINAS CITY,SUB-CHAPTER,"Bernabe Compound, Pulanglupa, Las Pi¤as City",NATIONAL CAPITAL REGION,laspinas@redcross.org.ph,385-2926,Landline,9173052636,Cellphone,Mr. Paul Jay D. Gordove,Officer In Charge,0917-3267529,,Dir. Cynthia A. Villar,Chapter Chairman,mother chapter-Rizal,14.4506,120.98381
120.95092,14.65768,MALABON CITY,CHAPTER,"Gov. Pascual, Brgy. Potrero, Malabon City",NATIONAL CAPITAL REGION,malabon@redcross.org.ph,404-4956,Landline,404-4476,Landline,Maria Joana A. Rosete,Officer In Charge,0927-2503995,,Dir. Payapa V. Ona,Chapter Chairman,,14.6577,120.95092
121.096226,14.6299203,MARIKINA CITY,CHAPTER,"# 240 2nd Flr. Old Puericulture Bldg (in front of OLA and Shoe Museum) JP Rizal cor. P. Gomez , San Roque, Marikina City",NATIONAL CAPITAL REGION,,681-7483,Landline,,,Mr. Paolo Jesus M. Roxas I,Officer In Charge,0926-6696144,,Dir. Natividad Cabaquinto,Chapter Chairman,,,
120.94771,14.65798,NAVOTAS CITY,SUB-CHAPTER,"Navotas City Youth Center (Tumana Area), Matambaka Street, Dagat-dagatan, Phase II, Area II, Kaunlaran Village NBBS, Navotas Cit",NATIONAL CAPITAL REGION,navotas@redcross.org..ph,474-5553,Direct Line,,,Mrs.  Catherine D. Cataga,Officer In Charge,0928-7015812,,Dir. Marilyn  R. Ang,Chapter Chairman,mother chapter-Caloocan City,14.658,120.94771
121.06308,14.57554,RIZAL,CHAPTER,"Shaw Boulevard, Brgy. Kapitolyo, Pasig City 1601",NATIONAL CAPITAL REGION,rizal@redcross.org.ph,631-3592,Telefax,632-3993,Bloodbank,Ms. Shirlie Bernabe Alicante,Officer In Charge,0917-5139074,0917-8068533,"Dir. Alfred A. Xerez-Burgos, Jr.",Chapter Chairman,,14.5755,121.06308
121.41631,14.28039,LAGUNA,CHAPTER,"J. De Leon Street, Corner P. Guevarra Ave., Sta Cruz, Laguna 4009",SOUTHERN LUZON,laguna@redcross.org.ph,049-5011114,Telefax,557-1800,Bloodbank,Mr. Frank Gray M. Sorromero,Officer In Charge,0921-7612899,,Dir. Jaime Bautista Ching,Chapter Chairman,,14.2804,121.41631
121.83591,13.4488,MARINDUQUE,CHAPTER,"Kasilag Street, ISOK, Boac, Marinduque  4900",SOUTHERN LUZON,marinduque@redcross.org.ph,042-3111576,Telefax,,,Mr. Jommel M. Merano,Officer In Charge,0928-7470460,0999-5496766,Dir. Romulo H. Malvar,Chapter Chairman,,13.4488,121.83591
122.27033,12.57651,ROMBLON,CHAPTER,"Capitol Site, Brgy. Capaclan, Romblon, Romblon 5500",SOUTHERN LUZON,romblon@redcross.org.ph,054-4728218,Telefax,,,Ms. Mary Ann D. Magada,Officer In Charge,0907-7974304,,Dir. Alicia C. Fetalvero,Chapter Chairman,,12.5765,122.27033
123.7327,13.13857,ALBAY | LEGASPI CITY,CHAPTER,"Corner Gov. Locsin and Fr. J.L.Bates Streets, Albay District, Legaspi City 4500",BICOL REGION,albay@redcross.org.ph,052-4813638,Telefax,,,Mr. Gerald R. Gapayao,Officer In Charge,0921-4984627,0919-9942545,Dir. Dante B. Baclao,Chapter Chairman,,13.1386,123.7327
122.9546,14.10379,CAMARINES NORTE,CHAPTER,"Camarines  Norte Prov?l Hospital Compound, Bagasbas Road, Daet, Camarines Norte 4600",BICOL REGION,camarines.norte@redcross.org.ph,054-7215455,Landline,,,Mr. Ferdinand Salvador Q. Ferre,Officer In Charge,0917-5504856,,Dir. Josefina B. Tallado,Chapter Chairman,,14.1038,122.9546
123.188,13.62446,CAMARINES SUR,CHAPTER,"Panganiban Drive, Naga City 4400",BICOL REGION,camarines.sur@redcross.org.ph,054-4739431,Telefax,,,Mr. Romula V. Cordez Jr.,Officer In Charge,,,Dir.Pedrito M. Servano,Chapter Chairman,,13.6245,123.188
124.23132,13.58188,CATANDUANES,CHAPTER,"EBMC Compound, San Isidro Village, Virac,Catanduanes 4800",BICOL REGION,catanduanes@redcross.org.ph,,,,,Mr. Reymund A. Reginaldo,Officer In Charge,0917-8068528,,Dir. Gabriel T. Tejerero,Chapter Chairman,,13.5819,124.23132
121.91153,11.89613,BORACAY,CHAPTER,"Main Road Sitio Ambulong, Barangay Manocmanoc, Malay, Aklan",VISAYAS REGION,boracay@redcross.org.ph,036-288-2068,Telefax,199,Hotline,Mr. Marlo D. Schoenenberger,Officer In Charge,0939-9028069,0917-3247465,Dir. Nieva B. Mendoza,Chapter Chairman,,11.8961,121.91153
123.8551,9.6424,BOHOL,CHAPTER,"Marapao St. cor J.A. Clarin Street, Provincial Capitol Compound, Tagbilaran City  6300",VISAYAS REGION,bohol@redcross.org.ph,038-5019175,Telefax,,,Mrs. Nenita B. Briones,Officer In Charge,0939-9151687,,Dir. Edgar M. Chatto,Chapter Chairman,,9.6424,123.8551
125.43435,11.61412,EASTERN SAMAR,CHAPTER,"Capitol Site, Alang-alang, Borongan City, Eastern Samar 6800",VISAYAS REGION,easternsamar@redcross.org.ph,055-5609040,Landline,,,Mrs. Josefa C. Tentativa,Officer In Charge,0905-4592175,,Dir. Jesse C. Solidon,Chapter Chairman,,11.6141,125.43435
122.59304,10.65771,GUIMARAS,CHAPTER,"Museo de Guimaras, San Miguel, Jordan,  Guimaras 5045,",VISAYAS REGION,guimaras@redcross.org.ph,033-5812020,Landline,,,Mrs. Maricel M. Linga,Officer In Charge,0908-8947534,0917-6399893,Dir. Ruben B. Corpuz,Chapter Chairman,,10.6577,122.59304
124.74403,10.37411,HILONGOS,SUB-CHAPTER,"Navarroza Street, Hilongos, Leyte",VISAYAS REGION,hilongos@redcross.org.ph,,,,,Mrs.Everlisa N. Alotaya,Officer In Charge,0910-3475510,0939-9015916,Dir. Jose Emery Fulache Roble,Chapter Chairman,mother chapter-Tacloban,10.3741,124.74403
125.00698,11.24663,LEYTE,CHAPTER,Magsaysay Blvd. Cor. M.H. del Pilar Blvd. Tacloban City 6500,VISAYAS REGION,leyte@redcross.org.ph,053-8320097,Landline,053-3213330,Telefax,Mr. Edwin A. Pamonag,Officer In Charge,0917-9127797,,Dir.  Miguel T. Tezon,Chapter Chairman,,11.2466,125.00698
124.63779,12.50591,NORTHERN SAMAR,CHAPTER,"Capitol Site, Catarman, Northern Samar 6400",VISAYAS REGION,northernsamar@redcross.org.ph,055-2518279,Telefax,,,Mr. Renard C. Fidel,Officer In Charge,0918-6009815,,Dr. Pedro D. Destura,Chapter Chairman,,12.5059,124.63779
124.82948,10.13586,SOUTHERN LEYTE,CHAPTER,"Tomas Oppus Street, Brgy. Abgao, Maasin City, Southern Leyte 6600",VISAYAS REGION,southernleyte@redcross.org.ph,053-3810563,Bloodbank,053-3814234,Fax,Mr. Jonas P. Maco,Officer In Charge,0917-3202726,,Dir. Damian G. Mercado,Chapter Chairman,,10.1359,124.82948
124.88333,11.77599,WESTERN SAMAR,CHAPTER,"Arteche Boulevard, Catbalogan City, Western Samar  6700",VISAYAS REGION,westernsamar@redcross.org.ph,055-2516811,Telefax,,,Mr. Priam C. Arteche,Officer In Charge,0917-7239784,,,Chapter Chairman,,11.776,124.88333
125.89779,8.60213,AGUSAN DEL SUR,CHAPTER,"Government Center, Patin-ay, Prosperidad, Agusan del Sur 8500",MINDANAO REGION,agusan.sur@redcross.org.ph,085-3437195,Telefax,085-3437195,Landline,Ms. Darwina D. Ligan,Officer In Charge,0939-9265113,,"Dir. Solomon Bilaoen, Jr.",Chapter Chairman,,8.60213,125.89779
124.24527,7.21623,COTABATO,CHAPTER,"303 Veterans Ave. PC Hill, Cotabato City 9600",MINDANAO REGION,cotabato@redcross.org.ph,064-4216728,Telefax,064-4212274,Bloodbank,Mr. Ricardo D. Quintayo,Officer In Charge,0922-8148196,,Dir. Bai Fatima  P. Sinsuat,Chapter Chairman,,7.21623,124.24527
124.30861,7.98366,LANAO DEL SUR-MARAWI,SUB-CHAPTER,"ProvincialCapitol Complex, Buadi Sacayo, Marawi City",MINDANAO REGION,lanaosur@redcross.org.ph,,,,,Mrs. Raifa Adiong,Officer In Charge,0917-7068838,,Dir. Ali Siddique S. Descallar,Chapter Chairman,mother chapter-Iligan City,7.98366,124.30861
123.8038,8.48796,MISAMIS OCCIDENTA | OROQUIETA CITY,CHAPTER,"Capitol Compound, Oroquieta City 7207",MINDANAO REGION,misamis.occidental@redcross.org.ph,088-5311068,Telefax,,,Ms. Louwelie L. Macatol,Officer In Charge,0918-3228431,0917-8825744,Dir. Henry Y. Regalado,Chapter Chairman,,8.48796,123.8038
124.65347,8.49711,MISAMIS ORIENTAL | CAGAYAN DE ORO CITY,CHAPTER,"Capitol Compound, Cagayan de Oro City 9000",MINDANAO REGION,misamis.oriental@redcross.org.ph,088-8566647,Bloodbank,088-8568855,Fax,Dr. Myra G. Yee,Officer In Charge,0918-9275003,,Dir. Antonio S. Soriano,Chapter Chairman,,8.49711,124.65347
124.6801,6.68528,SULTAN KUDARAT PROVINCE | TACURONG CITY,CHAPTER,"Corner Bonifacio Street and Roxas Avenue, Tacurong City",MINDANAO REGION,sultankudarat@redcross.org.ph,064- 2006652,Telefax,,,Mr. Ansari A. Zailon,Officer In Charge,0917-6341037,,Dir. Bonifacio Valdez,Chapter Chairman,,6.68528,124.6801
126.1975,9.07705,SURIGAO DEL SUR,CHAPTER,"Capitol Hills, Tandag, Surigao del Sur 8300",MINDANAO REGION,surigao.sur@redcross.org.ph,086-2113191,Telefax,,,Mr. Angelito P. utrera,Officer In Charge,,,Dir. Annie O. Ty,Chapter Chairman,,9.07705,126.1975
119.7693,5.03505,TAWI-TAWI,SUB-CHAPTER,"Tubig Boh Capitol Hills, Bongao, Tawi - Tawi 7500",MINDANAO REGION,tawi-tawi@redcross.org.ph,,,,,Mrs. Diana Amilasan,Officer In Charge,0947-4926888,0926-2880943,Dir. Glenda O. Abdul,Chapter Chairman,mother chapter-Sulu,5.03505,119.7693
123.3432,8.59058,ZAMBOANGA DEL NORTE,CHAPTER,"Capitol Tourism Complex, Dipolog City 7100",MINDANAO REGION,zamboanga.norte@redcross.org.ph,065-2129374,Telefax,062-212-3566,Landline,Mr. Eliza B. Sasuman,Officer In Charge,,,Dir. Socorro U. Hamac,Chapter Chairman,,8.59058,123.3432
120.9699,14.59136,NATIONAL HEADQUARTERS,NHQ,"Bonifacio Dirve, Port Area, Manila 1018",NATIONAL CAPITAL REGION,prc@redcross.org.ph,632-6270000,Landline,,,Ms. Gwendolyn T. Pang,Secretary General,,,Mr. Richard J. Gordon,Chairman and CEO,,,
119.98484,16.15507,ALAMINOS CITY | WESTERN PANGASINAN,CHAPTER,"WPDH Compound, Sabaro, Poblacion, Alaminos City, 2404 Pangasinan",NORTHERN & CENTRAL LUZON,alaminos@redcross.org.ph,075-5516356,Landline,075-5514636,Fax,Mrs. Mylene O. Manalastas,Administrator,0920-9460901,,Dir. Arthur F. Celeste,Chapter Chairman,,16.1551,119.98484
120.59119,16.4143,BAGUIO CITY,CHAPTER,"39 Harrison Road, Baguio City 2600",NORTHERN & CENTRAL LUZON,baguio@redcross.org.ph,074-4424036,Telefax,074-4247953,Bloodbank,Mrs. Anastacia B. Tamayo,Administrator,0920-9514164,,Dir. Erdolfo V. Balajadia,Chapter Chairman,,16.4143,120.59119
120.5888,16.46315,BENGUET,CHAPTER,"BeGHCompound, KM 5  La Trinidad, Benguet",NORTHERN & CENTRAL LUZON,benguet@redcross.org.ph,074-4222796,Telefax,074-3091111,Direct Line,Mr. Oscar  G. Paris,Administrator,0918-9592005,,Dir. Jaime L. Narvaez,Chapter Chairman,,16.4632,120.5888
121.72736,17.61474,CAGAYAN,CHAPTER,"Magallanes  cor. Gomez Sts., Tuguegarao City 3500",NORTHERN & CENTRAL LUZON,cagayan@redcross.org.ph,078-8462881,Telefax,078-2251104,Landline,Ms. Aileen A. Torres,Administrator,0917-8993049,,Dir. Randolph S. Ting,Chapter Chairman,,17.6147,121.72736
120.59448,18.19721,ILOCOS NORTE-LAOAG CITY,CHAPTER,"2nd floor PHO Building, P. Gomez Street, Brgy. 23 2900 Laoag City, Ilocos Norte",NORTHERN & CENTRAL LUZON,ilocos.norte@redcross.org.ph,077-7705615,Landline,077-7720217,Telefax,Mrs. Edna L. Orcino,Administrator,0917-5701319,0908-8658960,Dir. Maria C. Ang,Chapter Chairman,,18.1972,120.59448
121.88791,17.15098,ISABELA,CHAPTER,"Calamangui 2nd Ilagan, Isabela  3300",NORTHERN & CENTRAL LUZON,isabela@redcross.org.ph,078-6223248,Telefax,,,Mrs. Antonita M. Asis,Administrator,0928-5200622,0917-5229286,Dir. Noel Manuel R. Lopez,Chapter Chairman,,17.151,121.88791
121.44478,17.40971,KALINGA,CHAPTER,"Capitol Hills, Bulanao, Tabuk City, Kalinga",NORTHERN & CENTRAL LUZON,kalinga@redcross.org.ph,,,,,Ms. Glorina B. Diaz,Administrator,0917-5699910,0921-4003558,Dir. Macario Duguiang,Chapter Chairman,,17.4097,121.44478
120.31807,16.61364,LA UNION-SAN FERNANDO CITY,CHAPTER,"Don Pablo Campos Building, Widdoes Street, Barangay 2, City of San Fernando, 2500 La Union",NORTHERN & CENTRAL LUZON,launion@redcross.org.ph,072-6073143,Telefax,072-7005161,Direct Line,Mrs. Almira V. Abrazado,Administrator,0918-9355698,,Dir. Jonathan Justo A. Orros,Chapter Chairman,,16.6136,120.31807
120.96535,15.48689,NUEVA ECIJA,CHAPTER,"Llanera Street, Old Capitol Compound, Cabanatuan City  3100",NORTHERN & CENTRAL LUZON,nueva.ecija@redcross.org.ph,044-4631280,Telefax,,,Mrs. Elena M. Ladignon,Administrator,0918-9203289,,"Dir. Tomas N. Joson, III",Chapter Chairman,,15.4869,120.96535
120.69158,15.02748,PAMPANGA | ANGELES CITY,CHAPTER,"Prov?l Capitol Compound , Sto.Ni¤o, City of San Fernando Pampanga 2000",NORTHERN & CENTRAL LUZON,pampanga@redcross.org.ph,045-9614117,Telefax,045-3227323,Bloodbank,Mr. Augusto B. Ocampo,Administrator,0918- 9206054,,Dir. Alfredo P. De Leon,Chapter Chairman,,15.0275,120.69158
120.33941,16.0451,PANGASINAN | DAGUPAN CITY | SAN CARLOS CITY,CHAPTER,Herrero-Perez Blvd. Dagupan City 2400,NORTHERN & CENTRAL LUZON,pangasinan@redcross.org.ph,075-5154577,Telefax,075-6322472,Bloodbank,Mrs. Florame S. Magalong,Administrator,0908-8601396,075-5157887,"Dir. Vivencio V. Villaflor, Jr. M.",Chapter Chairman,,16.0451,120.33941
121.52216,16.53087,QUIRINO,CHAPTER,"Capitol Hills, Cabarroguis, Quirino3400",NORTHERN & CENTRAL LUZON,quirino@redcross.org.ph,,,,,Mrs. Jesusa N. Leal,Administrator,0917-5745001,,Dir. Junie E. Cua,Chapter Chairman,,16.5309,121.52216
121.54443,16.68822,SANTIAGO CITY,SUB-CHAPTER,"City Hall Compound, San Andres, Santiago City",NORTHERN & CENTRAL LUZON,santiagocity@redcross.org.ph,0917-8971719,Cellphone,,,Mrs.  Estela C. Vergara,Administrator,0917-8128569,,Dir. Amelita S. Navarro,Chapter Chairman,mother chapter-Quirino,16.6882,121.54443
120.59341,15.4873,TARLAC,CHAPTER,"Capitol Site, San Vicente, Tarlac City 2300",NORTHERN & CENTRAL LUZON,tarlac@redcross.org.ph,045-9820318,Telefax,045-4918900,Bloodbank,"Mr. Luciano L. Paras, Jr.",Administrator,0917-5140105,0939-9177005,Dir. Jesus Cano Chua,Chapter Chairman,,15.4873,120.59341
119.97709,15.32778,ZAMBALES,CHAPTER,"Brgy. Palanginan, Iba, Zambales 2201",NORTHERN & CENTRAL LUZON,zambales@redcross.org.ph,047-8113648,Telefax,0949-8272675,Cellphone,Ms. Maria Elizabeth J. Ednave,Administrator,0917-5774092,0908-8774787,Norma M. Abad,Chapter Chairman,,15.3278,119.97709
120.9818,14.58807,MANILA,CHAPTER,"Gen. Luna corner Victoria Streets, Intramuros, Manila 1002",NATIONAL CAPITAL REGION,manila@redcross.org.ph,527-3595,Telefax,527-3594,Direct Line,Mrs.Crisanta C.Cayetano,Administrator,0917-5227044,,Cong. Amado S. Bagatsing,Chapter Chairman,,14.5881,120.9818
120.99479,14.54434,PASAY CITY,CHAPTER,"2354 CAA Compound, Aurora Blvd. (old Tramo), Pasay City 1300",NATIONAL CAPITAL REGION,pasay@redcross.org.ph,854-2748,Telefax,973-5870,Telefax,Mrs. Adelina B. Castillo,Administrator,0917-8151179,,Dir. Enrique Lagdameo,Chapter Chairman,,14.5443,120.99479
121.04996,14.64811,QUEZON CITY,CHAPTER,"Gate 5 Quezon City Hall Compound, Kalayaan Avenue, Diliman, Quezon City 1100",NATIONAL CAPITAL REGION,quezoncity@redcross.org.ph,920-3672,Telefax,433-6568,Bloodbank,Mrs. Annie D. Torres,Administrator,0922-8575372,0917-8542956,Dir. Hermogenes D. Jarin,Chapter Chairman,,14.6481,121.04996
120.9677,14.69299,VALENZUELA CITY,CHAPTER,"Dahlia Street, Villa Teresa Subdivision, Marulas, Valenzuela City",NATIONAL CAPITAL REGION,valenzuela@redcross.org.ph,293-8375,Telefax,293-9914,Bloodbank,Mrs. Criselda  I. Torres,Administrator,0922-8483819,0929-2869549,Dir. Elizabeth A. Chongco,Chapter Chairman,,14.693,120.9677
121.0601,13.75979,BATANGAS,CHAPTER,"Capitol Site, Kumintang Ibaba, Batangas City 4200",SOUTHERN LUZON,batangas@redcross.org.ph,043-7233027,Telefax,043-7025595,Telefax,Mr. Ronald G. Generoso,Administrator,0917-8824203,,Dir.Vicente A. Mayo,Chapter Chairman,,13.7598,121.0601
120.90734,14.48061,CAVITE,CHAPTER,"Samonte Park, Cavite City 4100",SOUTHERN LUZON,cavite@redcross.org.ph,046-4310562,Telefax,046-4315629,Landline,Mrs. Ma. Luz L.Asencio,Administrator,0906-2750312,,Dir. Cresenciana R. Fancuvilla,Chapter Chairman,,14.4806,120.90734
121.18087,13.41598,MINDORO ORIENTAL,CHAPTER,"Capitol  Site, Camilmil, Calapan  City 5200",SOUTHERN LUZON,mindoro.oriental@redcross.org.ph,043-2867173,Landline,,,Ms. Guada Fe S. de Leon,Administrator,0920-9834807,0917-5491176,Dir. LuningningY. Centron,Chapter Chairman,,13.416,121.18087
121.06823,12.35471,OCCIDENTAL MINDORO,SUB-CHAPTER,"M. H. del Pilar Street, Brgy. Siete, San Jose, Occidental Mindoro 5100",SOUTHERN LUZON,mindoro.occidental@redcross.org.ph,043-4914383,Telefax,,,Mr. Minandro C. Ebora,Administrator,0928-5214238,0917-5603923,Dir. Josephine Ramirez-Sato,Chapter Chairman,mother chapter-Lucena City,12.3547,121.06823
118.74493,9.74117,PALAWAN,CHAPTER,"H. Mendoza Street, Old City Hall Site, Puerto Princesa City 5300",SOUTHERN LUZON,palawan@redcross.org.ph,048-4336362,Telefax,048-7233443,Telefax,,Administrator,,,Dir. Ofelia A. Sta. Maria,Chapter Chairman,,9.74117,118.74493
121.61805,13.93427,QUEZON | LUCENA CITY,CHAPTER,"Victoria Street, Capitol Compound, Lucena City 4301",SOUTHERN LUZON,quezonlucena@redcross.org.ph,042-7102431,Telefax,660-4460,Landline,Mr. Jaime D. Candelaria,Administrator,0918-9190461,,Dr. Gerardo B. De Villa,Chapter Chairman,,13.9343,121.61805
121.32494,14.07062,SAN PABLO CITY,CHAPTER,"1 Rizal Avenue, San Pablo City, Laguna 4000",SOUTHERN LUZON,sanpablo@redcross.org.ph,049-5624025,Telefax,0917-8824204,Cellphone,Mrs. Dorie P. Cabela,Administrator,0917-5456581,,"Dr. Emmanuel D. Loyola, M.D.",Chapter Chairman,,14.0706,121.32494
123.62673,12.36528,MASBATE,CHAPTER,"Social Center Site, Capitol Road, Masbate City 5400",BICOL REGION,masbate@redcross.org.ph,056-3332331,Telefax,,,Mrs. Amparo D. Perez,Administrator,0917-8068527,,Dir. Ruby Sanchez-Morano,Chapter Chairman,,12.3653,123.62673
124.00491,12.97121,SORSOGON,CHAPTER,"Capitol Compound, Sorsogon City 4700",BICOL REGION,sorsogon@redcross.org.ph,056-2111300,Telefax,,,Mrs. Salvacion L. Abotanatin,Administrator,0917-3095596,,Dir.. Arnulfo L.Perete,Chapter Chairman,,12.9712,124.00491
122.3649,11.71019,AKLAN,CHAPTER,"F. Quimpo Street, Kalibo, Aklan 5600",VISAYAS REGION,aklan@redcross.org.ph,036-2681425,Telefax,,,Mrs. Arcely P. Pelayo,Administrator,0917-3283124,,Dir. Ronquillo C. Tolentino,Chapter Chairman,,11.7102,122.3649
121.93827,10.74594,ANTIQUE,CHAPTER,"T. A. Fornier Street (front of PNB), San Jose, Antique 5700",VISAYAS REGION,antique@redcross.org.ph,036-5407108,Telefax,,,Mrs. Ester L. Buenaventura,Administrator,0917-8824-221,,Judge Nery  Duremdes,Chapter Chairman,,10.7459,121.93827
122.752,11.58692,CAPIZ,CHAPTER,"Provincial Park, Macopa Street, Roxas City 2800",VISAYAS REGION,capiz@redcross.org.ph,036-6211125,Telefax,,,Mrs. Nelia B. Cartujano,Administrator,0917-6270610,,"Charlie T. Robles, M.D.",Chapter Chairman,,11.5869,122.752
123.89981,10.2993,CEBU,CHAPTER,"Osmena Boulevard, Cebu City 6000",VISAYAS REGION,cebu@redcross.org.ph,032-4124140,Landline,032-2534611,Bloodbank,Mrs. Norma C. Tancinco,Administrator,0920-9294645,,Dir. Allan Nicolas C. Ouano,Chapter Chairman,,10.2993,123.89981
122.56616,10.69908,ILOILO,CHAPTER,"Bonifacio Drive (beside Iloilo Hall of Justice), Iloilo City 5000",VISAYAS REGION,iloilo@redcross.org.ph,033-3375950,Telefax,033-3372088,Bloodbank,Mr. Gilbert Paul L. Valderrama,Administrator,0917-6399899,,Dir. Ramon C. Locsin,Chapter Chairman,,10.6991,122.56616
123.94723,10.31375,LAPU-LAPU | CORDOVA,CHAPTER,"R. de la Serna St., Poblacion, Lapu-Lapu City 6015",VISAYAS REGION,lapulapu@redcross.org.ph,032-4954770,Landline,032-2689983,Telefax,Mr. Vic Jay  C. Gonzal,Administrator,0917-8535390,,Dir. Samuel B. Lim,Chapter Chairman,,10.3138,123.94723
122.94853,10.6699,NEGROS OCCIDENTAL | BACOLOD CITY,CHAPTER,"10th Street Lacson Capitol Subd., Capitol Shopping Center, Bacolod City 6100",VISAYAS REGION,negros.occidental@redcross.org.ph,034-4348541,Bloodbank,034-4349286,Fax,Mr. Raul S. Garganera,Administrator,0917-3250007,,Dir. Demosthenes L. Magallanes,Chapter Chairman,,10.6699,122.94853
